song_title,artist,chart_name,
New Jeans (Jersey Club),Dxrkaii,Billboard Dance,
Keep Up,Odetari,Billboard Dance,
I Adore You,HUGEL,Billboard Dance,
Love Potions,BJ Lip,Billboard Dance,
Funk Do Bounce,Ariis,Billboard Dance,
One Of These Mornings,Zeds Dead,Billboard Dance,
Hypnotized,Anyma,Billboard Dance,
I Only Smoke When I Drink,nimino,Billboard Dance,
Spooky,fennecxx,Billboard Dance,
Como La Flor,Play-N-Skil,Billboard Dance,
Somedays,Sonny Fodera,Billboard Dance,
SMB,Odetari,Billboard Dance,
Don't Stop,GLXXMSTRIDER,Billboard Dance,
Forever,HUGEL,Billboard Dance,
Dirty Cash (Money Talks),PAWSA,Billboard Dance,
Chess Type Beat,Jesus Mus1c,Billboard Dance,
A Bar Song (Tipsy),Shaboozey,Billboard Country,
Love Somebody,Morgan Wallen,Billboard Country,
I Had Some Help,Post Malone,Billboard Country,
Smile,Morgan Wallen,Billboard Country,
High Road,Koe Wetzel,Billboard Country,
I Am Not Okay,Jelly Roll,Billboard Country,
Liar,Jelly Roll,Billboard Country,
Wind Up Missin' You,Tucker Wetmore,Billboard Country,
I Never Lie,Zach Top,Billboard Country,
Indigo,Sam Barber,Billboard Country,
I'm Gonna Love You,Cody Johnson,Billboard Country,
4x4xU,Lainey Wilson,Billboard Country,
Good News,Shaboozey,Billboard Country,
Think I'm In Love With You,Chris Stapleton,Billboard Country,
I Ain't Sayin',Jordan Davis,Billboard Country,
Guy For That,Post Malone,Billboard Country,
Am I Okay?,Megan Moroney,Billboard Country,
Holy Smokes,Bailey Zimmerman,Billboard Country,
Weren't For The Wind,Ella Langley,Billboard Country,
Ends Of The Earth,Ty Myers,Billboard Country,
Texas,Blake Shelton,Billboard Country,
Bigger Houses,Dan + Shay,Billboard Country,
High Road,Zach Bryan,Billboard Country,
This Town's Been Too Good To Us,Dylan Scott,Billboard Country,
Fix What You Didn't Break,Nate Smith,Billboard Country,
Don't Mind If I Do,Riley Green,Billboard Country,
Cowboy Songs,George Birge,Billboard Country,
Damn Good Day To Leave,Riley Green,Billboard Country,
Somethin' 'Bout A Woman,Thomas Rhett,Billboard Country,
Backseat Driver,Kane Brown,Billboard Country,
House Again,Hudson Westbrook,Billboard Country,
Relapse,Warren Zeiders,Billboard Country,
Devil You Know,Tyler Braden,Billboard Country,
Friends Like That,John Morgan,Billboard Country,
Forever To Me,Cole Swindell,Billboard Country,
Just Like Johnny,Redferrin,Billboard Country,
Gorgeous,Kane Brown,Billboard Country,
Cowboys Cry Too,Kelsea Ballerini,Billboard Country,
Please Don't Go,Wyatt Flores,Billboard Country,
Hometown Home,LOCASH,Billboard Country,
Use Me,Zach Top,Billboard Country,
Baggage,Kelsea Ballerini,Billboard Country,
Darlin',Chase Matthew,Billboard Country,
A Lot More Free,Max McNown,Billboard Country,
Single Again,Josh Ross,Billboard Country,
Last Of My Kind,Shaboozey,Billboard Country,
Porch Light,Josh Meloy,Billboard Country,
Coming Home,Old Dominion,Billboard Country,
Neon Moon,Brooks & Dunn,Billboard Country,
Whiskey Drink,Jason Aldean,Billboard Country,
Man I Need,Olivia Dean,Spotify Weekly Top USA,
The Fate of Ophelia,Taylor Swift,Spotify Weekly Top USA,
Choosin' Texas,Ella Langley,Spotify Weekly Top USA,
Golden,HUNTR/X,Spotify Weekly Top USA,
So Easy (To Fall In Love),Olivia Dean,Spotify Weekly Top USA,
back to friends,sombr,Spotify Weekly Top USA,
I Thought I Saw Your Face Today,She & Him,Spotify Weekly Top USA,
Ordinary,Alex Warren,Spotify Weekly Top USA,
4 Raws,EsDeeKid,Spotify Weekly Top USA,
Dreams,Fleetwood Mac,Spotify Weekly Top USA,
Where is my husband!,RAYE,Spotify Weekly Top USA,
What You Saying,Lil Uzi Vert,Spotify Weekly Top USA,
I Got Better,Morgan Wallen,Spotify Weekly Top USA,
Purple Rain,Prince,Spotify Weekly Top USA,
Opalite,Taylor Swift,Spotify Weekly Top USA,
Mr. Brightside,The Killers,Spotify Weekly Top USA,
Creep,Radiohead,Spotify Weekly Top USA,
Internet Girl,Katseye,Spotify Weekly Top USA,
Sweater Weather,The Neighbourhood,Spotify Weekly Top USA,
Iris,The Goo Goo Dolls,Spotify Weekly Top USA,
Every Breath You Take,The Police,Spotify Weekly Top USA,
Landslide,Fleetwood Mac,Spotify Weekly Top USA,
505,Arctic Monkeys,Spotify Weekly Top USA,
Birds of a feather,Billie Eilish,Spotify Weekly Top USA,
A Couple Minutes,Olivia Dean,Spotify Weekly Top USA,
Sailor Song,Gigi Perez,Spotify Weekly Top USA,
No Pole,Don Toliver,Spotify Weekly Top USA,
Everybody Wants To Rule the World,Tears For Fears,Spotify Weekly Top USA,
No One Noticed,The Marias,Spotify Weekly Top USA,
No Broke Boys,Disco Lines,Spotify Weekly Top USA,
Phantom,EsDeeKid,Spotify Weekly Top USA,
Headlines,Drake,Spotify Weekly Top USA,
Running Up That Hill (A Deal With God),Kate Bush,Spotify Weekly Top USA,
Timeless,The Weeknd,Spotify Weekly Top USA,
Pink Pony Club,Chappell Roan,Spotify Weekly Top USA,
Folded,Kehlani,Spotify Weekly Top USA,
Sports car,Tate McRae,Spotify Weekly Top USA,
Love Me Not,Ravyn Lenae,Spotify Weekly Top USA,
Sparks,Coldplay,Spotify Weekly Top USA,
Sienna,The Marias,Spotify Weekly Top USA,
Manchild,Sabrina Carpenter,Spotify Weekly Top USA,
Lose Control,Teddy Swims,Spotify Weekly Top USA,
Lush Life,Zara Larsson,Spotify Weekly Top USA,
Luther,Kendrick Lamar,Spotify Weekly Top USA,
I Remember Everything,Zach Bryan,Spotify Weekly Top USA,
Chanel,Tyla,Spotify Weekly Top USA,
Tit for Tat,Tate McRae,Spotify Weekly Top USA,
Gabriela,Katseye,Spotify Weekly Top USA,
Beautiful Things,Benson Boone,Spotify Weekly Top USA,
I'm The Problem,Morgan Wallen,Spotify Weekly Top USA,
Good Luck Babe!,Chappell Roan,Spotify Weekly Top USA,
Nice To Each Other,Olivia Dean,Spotify Weekly Top USA,
I Had Some Help,Post Malone,Spotify Weekly Top USA,
Die With A Smile,Lady Gaga,Spotify Weekly Top USA,
What I Want,Morgan Wallen,Spotify Weekly Top USA,
The Less I Know The Better,Tame Impala,Spotify Weekly Top USA,
Worst Way,Riley Green,Spotify Weekly Top USA,
Daisies,Justin Bieber,Spotify Weekly Top USA,
No Hands,Waka Flocka Flame,Spotify Weekly Top USA,
Broken Window Serenade,Whiskey Myers,Spotify Weekly Top USA,
One Dance,Drake,Spotify Weekly Top USA,
Something in the Orange,Zach Bryan,Spotify Weekly Top USA,
All The Star,Kendrick Lamar,Spotify Weekly Top USA,
The Chain,Fleetwood Mac,Spotify Weekly Top USA,
Hell All Night,BigXthaPlug,Spotify Weekly Top USA,
